code,title,category,status,createdBy,createdDate
DOC-00093,Document Title 93,Marketing,Approved,David,2026-06-03T18:52:53.329Z
DOC-00094,Document Title 94,Finance,Draft,Emma,2026-03-23T00:03:44.571Z
DOC-00095,Document Title 95,Marketing,Pending,Alice,2026-06-24T07:40:17.761Z
DOC-00096,Document Title 96,IT,Pending,Bob,2026-04-15T21:52:22.886Z
DOC-00097,Document Title 97,Marketing,Pending,Alice,2026-05-21T14:43:01.612Z
DOC-00098,Document Title 98,Legal,Pending,Alice,2026-06-15T15:23:39.667Z
DOC-00099,Document Title 99,Legal,Approved,Emma,2026-05-11T21:32:06.972Z
DOC-00100,Document Title 100,Marketing,Draft,Charlie,2026-03-22T16:02:29.432Z
DOC-00101,Document Title 101,IT,Pending,Alice,2026-05-13T17:24:40.152Z
DOC-00102,Document Title 102,Project,Draft,Charlie,2026-03-24T13:34:59.736Z
DOC-00103,Document Title 103,Marketing,Pending,David,2026-05-25T01:18:32.579Z
DOC-00104,Document Title 104,Marketing,Draft,Charlie,2026-05-25T03:23:46.227Z
DOC-00105,Document Title 105,Project,Approved,Bob,2026-06-04T05:41:10.709Z
DOC-00106,Document Title 106,Legal,Pending,Bob,2026-04-15T21:39:03.754Z
DOC-00107,Document Title 107,IT,Draft,Charlie,2026-04-15T06:07:23.793Z
DOC-00108,Document Title 108,Marketing,Pending,Bob,2026-04-27T18:50:11.753Z
DOC-00109,Document Title 109,Finance,Pending,Emma,2026-06-24T13:02:54.773Z
DOC-00110,Document Title 110,Project,Draft,Bob,2026-06-03T11:02:29.406Z
DOC-00111,Document Title 111,HR,Approved,Alice,2026-03-29T13:28:58.095Z
DOC-00112,Document Title 112,Finance,Draft,Bob,2026-03-23T00:30:35.767Z
DOC-00113,Document Title 113,Finance,Approved,Alice,2026-04-07T11:06:53.673Z
DOC-00114,Document Title 114,Legal,Pending,Charlie,2026-05-30T18:59:24.465Z
DOC-00115,Document Title 115,Marketing,Draft,Charlie,2026-05-25T18:23:25.856Z
DOC-00116,Document Title 116,Legal,Approved,Emma,2026-04-21T09:04:08.025Z
DOC-00117,Document Title 117,Project,Draft,David,2026-05-27T11:22:39.665Z
DOC-00118,Document Title 118,Finance,Draft,Alice,2026-06-27T21:41:41.440Z
DOC-00119,Document Title 119,Project,Draft,Charlie,2026-06-14T01:43:06.739Z
DOC-00120,Document Title 120,Legal,Pending,Bob,2026-06-12T00:15:28.819Z
DOC-00121,Document Title 121,Legal,Approved,Alice,2026-04-07T18:01:29.995Z
DOC-00122,Document Title 122,HR,Draft,Alice,2026-05-29T07:12:55.299Z
DOC-00123,Document Title 123,Marketing,Draft,Charlie,2026-05-01T01:40:32.923Z
DOC-00124,Document Title 124,Marketing,Approved,David,2026-06-23T22:51:32.212Z
DOC-00125,Document Title 125,Legal,Approved,Charlie,2026-06-16T03:28:46.592Z
DOC-00126,Document Title 126,Legal,Approved,David,2026-05-07T12:14:41.627Z
DOC-00127,Document Title 127,Finance,Pending,Alice,2026-05-02T13:53:57.314Z
DOC-00128,Document Title 128,IT,Approved,David,2026-05-11T05:04:25.412Z
DOC-00129,Document Title 129,Project,Draft,Bob,2026-05-01T04:53:59.972Z
DOC-00130,Document Title 130,HR,Pending,David,2026-03-11T09:48:57.391Z
DOC-00131,Document Title 131,Finance,Pending,Charlie,2026-05-29T05:21:49.438Z
DOC-00132,Document Title 132,Project,Pending,David,2026-06-17T07:00:37.290Z
DOC-00133,Document Title 133,Finance,Draft,Alice,2026-03-20T13:24:56.136Z
DOC-00134,Document Title 134,Project,Draft,Alice,2026-06-07T00:00:48.412Z
DOC-00135,Document Title 135,HR,Pending,Charlie,2026-03-25T08:43:26.938Z
DOC-00136,Document Title 136,IT,Approved,David,2026-05-10T14:04:24.821Z
DOC-00137,Document Title 137,IT,Pending,Bob,2026-04-05T12:30:03.983Z
DOC-00138,Document Title 138,Marketing,Draft,Bob,2026-06-04T13:40:37.808Z
DOC-00139,Document Title 139,Finance,Draft,Charlie,2026-03-29T07:46:19.945Z
DOC-00140,Document Title 140,Project,Approved,Emma,2026-05-02T13:33:36.519Z
DOC-00141,Document Title 141,Marketing,Draft,Bob,2026-04-10T15:31:41.104Z
DOC-00142,Document Title 142,Marketing,Draft,Charlie,2026-05-28T00:50:56.808Z
DOC-00143,Document Title 143,Marketing,Approved,David,2026-06-03T08:47:51.698Z
DOC-00144,Document Title 144,Finance,Draft,Alice,2026-06-13T17:07:13.764Z
DOC-00145,Document Title 145,HR,Draft,David,2026-04-25T12:58:25.385Z
DOC-00146,Document Title 146,Marketing,Approved,David,2026-04-30T07:35:54.769Z
DOC-00147,Document Title 147,HR,Approved,Emma,2026-06-10T19:10:45.824Z
DOC-00148,Document Title 148,Marketing,Pending,David,2026-05-06T18:55:19.795Z
DOC-00149,Document Title 149,IT,Approved,David,2026-04-25T14:43:23.761Z
DOC-00150,Document Title 150,Legal,Approved,Charlie,2026-03-28T05:45:38.624Z
DOC-00151,Document Title 151,IT,Draft,Emma,2026-03-23T03:52:58.814Z
DOC-00152,Document Title 152,IT,Approved,Alice,2026-05-22T22:45:01.820Z
DOC-00153,Document Title 153,Project,Pending,Charlie,2026-06-09T03:49:38.341Z
DOC-00154,Document Title 154,Project,Pending,Charlie,2026-04-22T00:30:25.749Z
DOC-00155,Document Title 155,Finance,Pending,Emma,2026-06-20T16:57:18.135Z
DOC-00156,Document Title 156,Marketing,Approved,Bob,2026-03-23T12:47:34.548Z
DOC-00157,Document Title 157,Project,Pending,Alice,2026-04-04T06:13:23.358Z
DOC-00158,Document Title 158,Legal,Pending,David,2026-03-21T06:43:59.581Z
DOC-00159,Document Title 159,HR,Pending,David,2026-05-26T06:29:48.866Z
DOC-00160,Document Title 160,Project,Pending,David,2026-04-21T15:14:35.246Z
DOC-00161,Document Title 161,Legal,Pending,Emma,2026-04-17T23:17:19.817Z
DOC-00162,Document Title 162,Legal,Approved,David,2026-05-24T15:39:14.860Z
DOC-00163,Document Title 163,IT,Approved,Bob,2026-04-15T06:28:30.196Z
DOC-00164,Document Title 164,IT,Pending,Emma,2026-06-27T12:23:19.438Z
DOC-00165,Document Title 165,Legal,Draft,Charlie,2026-05-10T06:10:18.707Z
DOC-00166,Document Title 166,HR,Draft,David,2026-03-06T07:54:49.928Z
DOC-00167,Document Title 167,IT,Draft,Alice,2026-05-01T11:08:02.082Z
DOC-00168,Document Title 168,Finance,Approved,Bob,2026-05-06T04:10:58.156Z
DOC-00169,Document Title 169,IT,Approved,Charlie,2026-04-10T05:46:52.876Z
DOC-00170,Document Title 170,HR,Draft,Bob,2026-05-14T18:03:51.598Z
DOC-00171,Document Title 171,IT,Pending,Bob,2026-04-28T21:29:05.496Z
DOC-00172,Document Title 172,IT,Pending,Emma,2026-03-31T18:50:47.662Z
DOC-00173,Document Title 173,Marketing,Approved,Bob,2026-06-27T11:01:02.840Z
DOC-00174,Document Title 174,Legal,Draft,Charlie,2026-06-13T22:29:34.464Z
DOC-00175,Document Title 175,Finance,Draft,Bob,2026-05-19T00:09:57.706Z
DOC-00176,Document Title 176,Marketing,Pending,David,2026-06-14T01:36:12.635Z
DOC-00177,Document Title 177,Project,Approved,Alice,2026-04-28T04:28:27.376Z
DOC-00178,Document Title 178,Project,Pending,Charlie,2026-05-06T08:57:42.094Z
DOC-00179,Document Title 179,Marketing,Pending,Bob,2026-05-27T12:37:08.690Z
DOC-00180,Document Title 180,Legal,Approved,Emma,2026-06-26T18:09:31.532Z
DOC-00181,Document Title 181,Project,Draft,Emma,2026-05-06T02:35:08.439Z
DOC-00182,Document Title 182,Legal,Approved,Bob,2026-03-21T22:43:52.907Z
DOC-00183,Document Title 183,IT,Approved,David,2026-03-22T11:29:06.843Z
DOC-00184,Document Title 184,Finance,Approved,David,2026-03-23T10:47:34.817Z
DOC-00185,Document Title 185,HR,Draft,Emma,2026-03-11T14:05:34.347Z
DOC-00186,Document Title 186,IT,Pending,Emma,2026-04-19T12:25:10.265Z
DOC-00187,Document Title 187,Legal,Pending,Emma,2026-04-04T11:04:23.538Z
DOC-00188,Document Title 188,Finance,Pending,Alice,2026-03-28T12:31:17.686Z
DOC-00189,Document Title 189,Marketing,Approved,Alice,2026-05-31T13:17:10.791Z
DOC-00190,Document Title 190,Finance,Draft,Charlie,2026-05-28T07:49:54.651Z
DOC-00191,Document Title 191,HR,Draft,Charlie,2026-04-17T14:44:32.924Z
DOC-00192,Document Title 192,IT,Approved,David,2026-05-25T07:28:12.594Z
DOC-00193,Document Title 193,IT,Draft,Alice,2026-04-03T16:07:27.020Z
DOC-00194,Document Title 194,IT,Draft,Bob,2026-03-11T21:44:15.683Z
DOC-00195,Document Title 195,Legal,Draft,Charlie,2026-06-21T21:00:14.388Z
DOC-00196,Document Title 196,HR,Pending,David,2026-06-05T14:12:05.507Z
DOC-00197,Document Title 197,Marketing,Pending,David,2026-03-11T01:17:14.915Z
DOC-00198,Document Title 198,Finance,Pending,Alice,2026-05-07T16:58:16.289Z
DOC-00199,Document Title 199,Legal,Pending,Charlie,2026-03-20T17:54:44.532Z
DOC-00200,Document Title 200,Marketing,Pending,Charlie,2026-04-11T17:10:10.689Z
DOC-00201,Document Title 201,Legal,Pending,Charlie,2026-03-16T12:05:34.147Z
DOC-00202,Document Title 202,Legal,Draft,Alice,2026-04-12T16:25:42.770Z
DOC-00203,Document Title 203,Legal,Pending,David,2026-03-23T05:58:04.445Z
DOC-00204,Document Title 204,IT,Approved,Alice,2026-05-27T00:16:48.148Z
DOC-00205,Document Title 205,Marketing,Draft,Alice,2026-05-11T11:49:43.004Z
DOC-00206,Document Title 206,Legal,Approved,Alice,2026-04-01T00:55:20.157Z
DOC-00207,Document Title 207,IT,Approved,Alice,2026-03-25T23:03:05.049Z
DOC-00208,Document Title 208,Project,Approved,Charlie,2026-05-08T14:15:15.485Z
DOC-00209,Document Title 209,Marketing,Pending,David,2026-06-05T12:39:17.921Z
DOC-00210,Document Title 210,IT,Draft,Bob,2026-04-02T03:18:52.821Z
DOC-00211,Document Title 211,Marketing,Draft,Charlie,2026-04-11T09:00:33.294Z
DOC-00212,Document Title 212,IT,Pending,Emma,2026-03-09T15:11:56.594Z
DOC-00213,Document Title 213,Marketing,Approved,Alice,2026-03-28T13:34:49.351Z
DOC-00214,Document Title 214,HR,Pending,Bob,2026-05-21T20:05:48.482Z
DOC-00215,Document Title 215,HR,Pending,Charlie,2026-03-31T15:32:57.888Z
DOC-00216,Document Title 216,Marketing,Draft,David,2026-03-13T18:52:38.608Z
DOC-00217,Document Title 217,Marketing,Approved,David,2026-06-25T12:26:21.672Z
DOC-00218,Document Title 218,Project,Draft,Charlie,2026-06-02T03:35:23.305Z
DOC-00219,Document Title 219,Finance,Pending,Charlie,2026-04-29T08:41:09.035Z
DOC-00220,Document Title 220,Project,Approved,Alice,2026-04-23T14:00:05.922Z
DOC-00221,Document Title 221,Legal,Approved,Alice,2026-05-08T05:58:16.266Z
DOC-00222,Document Title 222,Legal,Pending,Emma,2026-03-10T06:38:00.204Z
DOC-00223,Document Title 223,Marketing,Draft,Alice,2026-06-16T05:39:14.467Z
DOC-00224,Document Title 224,Legal,Draft,Emma,2026-03-30T07:22:37.705Z
DOC-00225,Document Title 225,Marketing,Approved,Emma,2026-03-12T16:01:00.395Z
DOC-00226,Document Title 226,IT,Pending,Emma,2026-05-29T15:12:47.689Z
DOC-00227,Document Title 227,HR,Draft,Bob,2026-03-19T22:39:43.461Z
DOC-00228,Document Title 228,IT,Pending,Emma,2026-03-26T18:56:20.338Z
DOC-00229,Document Title 229,Marketing,Approved,Emma,2026-05-13T15:42:08.002Z
DOC-00230,Document Title 230,Legal,Approved,Charlie,2026-05-01T12:44:13.086Z
DOC-00231,Document Title 231,Legal,Approved,Bob,2026-06-23T05:20:35.975Z
DOC-00232,Document Title 232,Project,Pending,Bob,2026-03-29T05:37:55.718Z
DOC-00233,Document Title 233,Marketing,Approved,Bob,2026-04-20T23:15:40.302Z
DOC-00234,Document Title 234,Legal,Approved,Charlie,2026-05-31T22:28:34.457Z
DOC-00235,Document Title 235,Finance,Draft,Charlie,2026-06-01T02:36:53.280Z
DOC-00236,Document Title 236,Marketing,Pending,David,2026-04-25T04:28:26.081Z
DOC-00237,Document Title 237,Finance,Pending,Emma,2026-03-31T07:22:05.118Z
DOC-00238,Document Title 238,HR,Approved,Charlie,2026-04-03T02:52:35.599Z
DOC-00239,Document Title 239,Finance,Pending,Bob,2026-06-06T05:12:12.489Z
DOC-00240,Document Title 240,Legal,Approved,Bob,2026-06-01T07:36:39.683Z
DOC-00241,Document Title 241,Project,Approved,Bob,2026-05-01T23:35:31.460Z
DOC-00242,Document Title 242,Finance,Draft,Emma,2026-06-05T08:34:50.088Z
DOC-00243,Document Title 243,IT,Pending,Emma,2026-03-16T04:57:43.059Z
DOC-00244,Document Title 244,Finance,Draft,David,2026-03-31T12:19:52.226Z
DOC-00245,Document Title 245,Marketing,Approved,David,2026-04-19T22:45:42.304Z
DOC-00246,Document Title 246,Finance,Draft,Bob,2026-05-17T14:10:57.113Z
DOC-00247,Document Title 247,Marketing,Draft,Emma,2026-06-21T04:08:30.045Z
DOC-00248,Document Title 248,IT,Approved,Alice,2026-06-13T04:41:44.855Z
DOC-00249,Document Title 249,IT,Draft,Bob,2026-05-12T10:29:18.096Z
DOC-00250,Document Title 250,Finance,Draft,Charlie,2026-05-19T23:47:19.370Z
DOC-00251,Document Title 251,Project,Pending,Bob,2026-04-12T19:16:07.136Z
DOC-00252,Document Title 252,Project,Pending,Bob,2026-03-16T17:45:11.374Z
DOC-00253,Document Title 253,Legal,Pending,David,2026-04-27T12:46:49.131Z
DOC-00254,Document Title 254,Marketing,Pending,Charlie,2026-04-06T16:15:05.229Z
DOC-00255,Document Title 255,Marketing,Pending,David,2026-04-16T03:03:30.541Z
DOC-00256,Document Title 256,Legal,Draft,David,2026-05-05T07:55:00.844Z
DOC-00257,Document Title 257,IT,Approved,Charlie,2026-06-15T02:13:22.034Z
DOC-00258,Document Title 258,IT,Draft,Charlie,2026-04-06T18:17:32.434Z
DOC-00259,Document Title 259,HR,Draft,Emma,2026-04-04T05:31:17.666Z
DOC-00260,Document Title 260,Marketing,Draft,David,2026-06-25T15:20:11.437Z
DOC-00261,Document Title 261,Finance,Approved,Emma,2026-06-17T16:56:26.111Z
DOC-00262,Document Title 262,Marketing,Approved,Emma,2026-06-22T07:44:02.421Z
DOC-00263,Document Title 263,Legal,Pending,David,2026-04-21T04:57:55.521Z
DOC-00264,Document Title 264,IT,Pending,Charlie,2026-04-26T17:56:52.763Z
DOC-00265,Document Title 265,IT,Draft,Alice,2026-04-17T21:30:49.568Z
DOC-00266,Document Title 266,Legal,Pending,Charlie,2026-06-20T15:27:22.274Z
DOC-00267,Document Title 267,Marketing,Draft,Alice,2026-06-25T10:22:38.241Z
DOC-00268,Document Title 268,Finance,Approved,Emma,2026-03-04T18:03:51.979Z
DOC-00269,Document Title 269,Marketing,Draft,Bob,2026-03-29T03:34:27.880Z
DOC-00270,Document Title 270,HR,Approved,Bob,2026-04-28T21:07:31.273Z
DOC-00271,Document Title 271,Finance,Pending,Bob,2026-04-19T00:42:58.470Z
DOC-00272,Document Title 272,Legal,Draft,David,2026-03-12T21:38:36.198Z
DOC-00273,Document Title 273,IT,Pending,David,2026-05-03T01:22:35.410Z
DOC-00274,Document Title 274,IT,Approved,David,2026-04-30T06:09:22.489Z
DOC-00275,Document Title 275,Marketing,Approved,Bob,2026-06-27T12:55:31.726Z
DOC-00276,Document Title 276,HR,Approved,David,2026-04-03T11:51:23.363Z
DOC-00277,Document Title 277,Legal,Approved,Bob,2026-04-29T05:41:23.931Z
DOC-00278,Document Title 278,IT,Draft,Emma,2026-06-16T00:21:49.982Z
DOC-00279,Document Title 279,Project,Approved,Charlie,2026-05-19T19:12:53.951Z
DOC-00280,Document Title 280,IT,Draft,Alice,2026-05-24T20:19:23.273Z
DOC-00281,Document Title 281,IT,Draft,Bob,2026-05-05T13:14:21.703Z
DOC-00282,Document Title 282,Project,Draft,Emma,2026-04-04T04:11:38.395Z
DOC-00283,Document Title 283,IT,Pending,David,2026-04-22T20:12:07.845Z
DOC-00284,Document Title 284,Project,Approved,Charlie,2026-05-11T08:58:59.048Z
DOC-00285,Document Title 285,Project,Draft,Alice,2026-06-16T10:40:34.958Z
DOC-00286,Document Title 286,Marketing,Approved,Charlie,2026-06-16T23:18:47.697Z
DOC-00287,Document Title 287,Project,Approved,Alice,2026-05-29T01:02:49.763Z
DOC-00288,Document Title 288,HR,Draft,Bob,2026-06-21T23:22:49.561Z
DOC-00289,Document Title 289,Marketing,Pending,Charlie,2026-03-28T16:53:38.159Z
DOC-00290,Document Title 290,Project,Pending,David,2026-06-08T22:29:44.632Z
DOC-00291,Document Title 291,Legal,Approved,David,2026-03-25T23:30:04.531Z
DOC-00292,Document Title 292,Project,Pending,Alice,2026-04-21T11:08:08.012Z
DOC-00293,Document Title 293,IT,Draft,David,2026-04-08T17:43:05.253Z
DOC-00294,Document Title 294,Legal,Pending,Bob,2026-05-22T12:01:03.809Z
DOC-00295,Document Title 295,Project,Approved,Alice,2026-06-24T18:58:54.895Z
DOC-00296,Document Title 296,Marketing,Approved,Alice,2026-04-10T19:53:49.036Z
DOC-00297,Document Title 297,Legal,Draft,Bob,2026-04-08T11:16:24.314Z
DOC-00298,Document Title 298,Finance,Pending,David,2026-05-06T21:29:50.369Z
DOC-00299,Document Title 299,Marketing,Pending,Emma,2026-06-02T23:42:19.614Z
DOC-00300,Document Title 300,IT,Pending,Alice,2026-06-05T11:11:47.138Z
DOC-00301,Document Title 301,HR,Approved,Charlie,2026-06-02T22:37:55.627Z
DOC-00302,Document Title 302,HR,Draft,Charlie,2026-05-03T01:45:11.609Z
DOC-00303,Document Title 303,HR,Draft,Alice,2026-06-12T04:44:31.860Z
DOC-00304,Document Title 304,HR,Approved,Bob,2026-05-12T18:53:18.377Z
DOC-00305,Document Title 305,IT,Approved,Alice,2026-06-04T15:42:19.671Z
DOC-00306,Document Title 306,Legal,Approved,Emma,2026-03-17T09:18:34.879Z
DOC-00307,Document Title 307,Legal,Draft,Charlie,2026-03-07T11:35:25.097Z
DOC-00308,Document Title 308,Project,Pending,David,2026-05-06T06:46:51.095Z
DOC-00309,Document Title 309,Marketing,Draft,David,2026-03-08T03:12:28.581Z
DOC-00310,Document Title 310,IT,Approved,Bob,2026-05-06T15:01:57.969Z
DOC-00311,Document Title 311,Legal,Approved,David,2026-04-04T06:55:00.378Z
DOC-00312,Document Title 312,Marketing,Pending,Bob,2026-05-28T06:11:50.218Z
DOC-00313,Document Title 313,Project,Draft,David,2026-05-16T19:48:23.742Z
DOC-00314,Document Title 314,Legal,Draft,Bob,2026-04-23T13:38:48.614Z
DOC-00315,Document Title 315,Marketing,Approved,Bob,2026-03-22T17:49:01.728Z
DOC-00316,Document Title 316,HR,Pending,Alice,2026-03-24T05:26:58.334Z
DOC-00317,Document Title 317,Project,Approved,Alice,2026-06-12T20:59:49.933Z
DOC-00318,Document Title 318,IT,Draft,Bob,2026-03-29T12:32:59.776Z
DOC-00319,Document Title 319,IT,Pending,Bob,2026-06-15T16:09:57.868Z
DOC-00320,Document Title 320,Legal,Approved,Bob,2026-04-19T10:35:27.958Z
DOC-00321,Document Title 321,Finance,Pending,Emma,2026-03-23T19:48:15.918Z
DOC-00322,Document Title 322,HR,Approved,Alice,2026-03-04T23:42:07.639Z
DOC-00323,Document Title 323,HR,Draft,Charlie,2026-05-18T20:24:14.117Z
DOC-00324,Document Title 324,IT,Pending,Charlie,2026-04-14T08:06:55.544Z
DOC-00325,Document Title 325,HR,Draft,David,2026-04-17T02:29:53.034Z
DOC-00326,Document Title 326,Legal,Pending,David,2026-03-09T17:04:06.858Z
DOC-00327,Document Title 327,HR,Pending,Bob,2026-04-12T07:20:42.463Z
DOC-00328,Document Title 328,IT,Draft,Charlie,2026-04-05T04:22:19.841Z
